Subdivision,Median Home Value,state,county,county subdivision,Year,County,Latitude,Longitude
"Portland West CCD, Multnomah County, Oregon",663000,41,51,92520,2022,Multnomah,,
"Skyline CCD, Multnomah County, Oregon",747100,41,51,92975,2022,Multnomah,,
"Beavercreek CCD, Clackamas County, Oregon",644600,41,5,90272,2022,Clackamas,,
"Canby CCD, Clackamas County, Oregon",455000,41,5,90442,2022,Clackamas,,
"Colton CCD, Clackamas County, Oregon",493300,41,5,90595,2022,Clackamas,,
"Estacada CCD, Clackamas County, Oregon",511800,41,5,91088,2022,Clackamas,,
"Molalla CCD, Clackamas County, Oregon",405600,41,5,91955,2022,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",468900,41,5,92023,2022,Clackamas,45.2023855,-122.1188945
"Mulino CCD, Clackamas County, Oregon",620200,41,5,92040,2022,Clackamas,45.2212415,-122.5816606
"Northwest Clackamas CCD, Clackamas County, Oregon",546200,41,5,92261,2022,Clackamas,,
"Redland CCD, Clackamas County, Oregon",619100,41,5,92618,2022,Clackamas,45.3434553,-122.4928664
"Sandy CCD, Clackamas County, Oregon",473900,41,5,92788,2022,Clackamas,,
"Wilsonville CCD, Clackamas County, Oregon",579200,41,5,93536,2022,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",673600,41,5,93587,2022,Clackamas,45.1381769,-122.6817567
"Beaverton-Hillsboro CCD, Washington County, Oregon",501200,41,67,90289,2022,Washington,45.5226664,-122.9898071
"Chehalem Mountains CCD, Washington County, Oregon",660500,41,67,90510,2022,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",507000,41,67,90561,2022,Washington,45.5469616,-123.1386021
"Forest Grove-Cornelius CCD, Washington County, Oregon",429100,41,67,91156,2022,Washington,,
"North Plains CCD, Washington County, Oregon",614700,41,67,92210,2022,Washington,,
"Rockcreek CCD, Washington County, Oregon",573700,41,67,92678,2022,Washington,45.5510497,-122.8741537
"Corbett CCD, Multnomah County, Oregon",654100,41,51,90663,2023,Multnomah,,
"Gresham CCD, Multnomah County, Oregon",438300,41,51,91249,2023,Multnomah,45.5044715,-122.4356657
"Portland East CCD, Multnomah County, Oregon",525000,41,51,92518,2023,Multnomah,45.5165442,-122.6626984
"Portland West CCD, Multnomah County, Oregon",694000,41,51,92520,2023,Multnomah,45.4548406,-122.7325965
"Skyline CCD, Multnomah County, Oregon",780100,41,51,92975,2023,Multnomah,45.5145659,-122.5863212
"Beavercreek CCD, Clackamas County, Oregon",660600,41,5,90272,2023,Clackamas,45.2879294,-122.5353423
"Canby CCD, Clackamas County, Oregon",484700,41,5,90442,2023,Clackamas,45.262692,-122.6957402
"Colton CCD, Clackamas County, Oregon",555400,41,5,90595,2023,Clackamas,45.1721192,-122.4374803
"Estacada CCD, Clackamas County, Oregon",572400,41,5,91088,2023,Clackamas,45.2877198,-122.3351638
"Molalla CCD, Clackamas County, Oregon",438300,41,5,91955,2023,Clackamas,45.1475439,-122.5771264
"Mount Hood CCD, Clackamas County, Oregon",473300,41,5,92023,2023,Clackamas,45.2023855,-122.1188945
"Mulino CCD, Clackamas County, Oregon",650000,41,5,92040,2023,Clackamas,45.2212415,-122.5816606
"Northwest Clackamas CCD, Clackamas County, Oregon",593600,41,5,92261,2023,Clackamas,45.4074434,-122.5688975
"Redland CCD, Clackamas County, Oregon",660800,41,5,92618,2023,Clackamas,45.3434553,-122.4928664
"Sandy CCD, Clackamas County, Oregon",488200,41,5,92788,2023,Clackamas,45.3973141,-122.2630704
"Wilsonville CCD, Clackamas County, Oregon",605600,41,5,93536,2023,Clackamas,45.3029344,-122.7726687
"Yoder CCD, Clackamas County, Oregon",719800,41,5,93587,2023,Clackamas,45.1381769,-122.6817567
"Beaverton-Hillsboro CCD, Washington County, Oregon",556000,41,67,90289,2023,Washington,45.5226664,-122.9898071
"Chehalem Mountains CCD, Washington County, Oregon",645300,41,67,90510,2023,Washington,45.3278962,-122.88871
"Coast Range CCD, Washington County, Oregon",550200,41,67,90561,2023,Washington,45.5469616,-123.1386021
"Forest Grove-Cornelius CCD, Washington County, Oregon",457200,41,67,91156,2023,Washington,,
"North Plains CCD, Washington County, Oregon",645200,41,67,92210,2023,Washington,45.59778499999999,-123.0008365
"Rockcreek CCD, Washington County, Oregon",614800,41,67,92678,2023,Washington,45.5510497,-122.8741537
