,Subdivision,Median Home Value,state,county,county subdivision,Year,County,Latitude,Longitude
82,"Redland CCD, Clackamas County, Oregon",619100,41,5,92618,2022,Clackamas,45.3434553,-122.4928664
84,"Wilsonville CCD, Clackamas County, Oregon",579200,41,5,93536,2022,Clackamas,45.3029344,-122.7726687
85,"Yoder CCD, Clackamas County, Oregon",673600,41,5,93587,2022,Clackamas,45.1381769,-122.6817567
86,"Beaverton-Hillsboro CCD, Washington County, Oregon",501200,41,67,90289,2022,Washington,45.5226664,-122.9898071
87,"Chehalem Mountains CCD, Washington County, Oregon",660500,41,67,90510,2022,Washington,45.3278962,-122.88871
88,"Coast Range CCD, Washington County, Oregon",507000,41,67,90561,2022,Washington,45.5469616,-123.1386021
91,"Rockcreek CCD, Washington County, Oregon",573700,41,67,92678,2022,Washington,45.5510497,-122.8741537
93,"Gresham CCD, Multnomah County, Oregon",438300,41,51,91249,2023,Multnomah,45.5044715,-122.4356657
94,"Portland East CCD, Multnomah County, Oregon",525000,41,51,92518,2023,Multnomah,45.5165442,-122.6626984
95,"Portland West CCD, Multnomah County, Oregon",694000,41,51,92520,2023,Multnomah,45.4548406,-122.7325965
96,"Skyline CCD, Multnomah County, Oregon",780100,41,51,92975,2023,Multnomah,45.5145659,-122.5863212
97,"Beavercreek CCD, Clackamas County, Oregon",660600,41,5,90272,2023,Clackamas,45.2879294,-122.5353423
98,"Canby CCD, Clackamas County, Oregon",484700,41,5,90442,2023,Clackamas,45.262692,-122.6957402
99,"Colton CCD, Clackamas County, Oregon",555400,41,5,90595,2023,Clackamas,45.1721192,-122.4374803
100,"Estacada CCD, Clackamas County, Oregon",572400,41,5,91088,2023,Clackamas,45.2877198,-122.3351638
101,"Molalla CCD, Clackamas County, Oregon",438300,41,5,91955,2023,Clackamas,45.1475439,-122.5771264
102,"Mount Hood CCD, Clackamas County, Oregon",473300,41,5,92023,2023,Clackamas,45.2023855,-122.1188945
103,"Mulino CCD, Clackamas County, Oregon",650000,41,5,92040,2023,Clackamas,45.2212415,-122.5816606
104,"Northwest Clackamas CCD, Clackamas County, Oregon",593600,41,5,92261,2023,Clackamas,45.4074434,-122.5688975
105,"Redland CCD, Clackamas County, Oregon",660800,41,5,92618,2023,Clackamas,45.3434553,-122.4928664
106,"Sandy CCD, Clackamas County, Oregon",488200,41,5,92788,2023,Clackamas,45.3973141,-122.2630704
107,"Wilsonville CCD, Clackamas County, Oregon",605600,41,5,93536,2023,Clackamas,45.3029344,-122.7726687
108,"Yoder CCD, Clackamas County, Oregon",719800,41,5,93587,2023,Clackamas,45.1381769,-122.6817567
109,"Beaverton-Hillsboro CCD, Washington County, Oregon",556000,41,67,90289,2023,Washington,45.5226664,-122.9898071
110,"Chehalem Mountains CCD, Washington County, Oregon",645300,41,67,90510,2023,Washington,45.3278962,-122.88871
111,"Coast Range CCD, Washington County, Oregon",550200,41,67,90561,2023,Washington,45.5469616,-123.1386021
113,"North Plains CCD, Washington County, Oregon",645200,41,67,92210,2023,Washington,45.59778499999999,-123.0008365
114,"Rockcreek CCD, Washington County, Oregon",614800,41,67,92678,2023,Washington,45.5510497,-122.8741537
