Subdivision,Median Home Value,state,county,county subdivision,Year,County
"Skyline CCD, Multnomah County, Oregon",780100,41,051,92975,2023,Multnomah
"Beavercreek CCD, Clackamas County, Oregon",660600,41,005,90272,2023,Clackamas
"Canby CCD, Clackamas County, Oregon",484700,41,005,90442,2023,Clackamas
"Colton CCD, Clackamas County, Oregon",555400,41,005,90595,2023,Clackamas
"Estacada CCD, Clackamas County, Oregon",572400,41,005,91088,2023,Clackamas
"Molalla CCD, Clackamas County, Oregon",438300,41,005,91955,2023,Clackamas
"Mount Hood CCD, Clackamas County, Oregon",473300,41,005,92023,2023,Clackamas
"Mulino CCD, Clackamas County, Oregon",650000,41,005,92040,2023,Clackamas
"Northwest Clackamas CCD, Clackamas County, Oregon",593600,41,005,92261,2023,Clackamas
"Redland CCD, Clackamas County, Oregon",660800,41,005,92618,2023,Clackamas
"Sandy CCD, Clackamas County, Oregon",488200,41,005,92788,2023,Clackamas
"Wilsonville CCD, Clackamas County, Oregon",605600,41,005,93536,2023,Clackamas
"Yoder CCD, Clackamas County, Oregon",719800,41,005,93587,2023,Clackamas
"Beaverton-Hillsboro CCD, Washington County, Oregon",556000,41,067,90289,2023,Washington
"Chehalem Mountains CCD, Washington County, Oregon",645300,41,067,90510,2023,Washington
"Coast Range CCD, Washington County, Oregon",550200,41,067,90561,2023,Washington
"Forest Grove-Cornelius CCD, Washington County, Oregon",457200,41,067,91156,2023,Washington
"North Plains CCD, Washington County, Oregon",645200,41,067,92210,2023,Washington
"Rockcreek CCD, Washington County, Oregon",614800,41,067,92678,2023,Washington
